-1167536839,2146710638,0.272,0.328,NaN,NaN
-1167520289,2146727186,0.27,0.33,0.224,0.058
-1167503441,2146744033,0.271,0.321,0.235,0.036
-1167487066,2146760507,0.276,0.325,NaN,NaN
-1167470596,2146777101,0.272,0.328,0.217,0.068
-1167453872,2146793958,0.274,0.322,0.23,0.038
-1167437481,2146810377,0.276,0.326,NaN,NaN
-1167420754,2146827113,0.277,0.334,0.215,0.057
-1167403977,2146843883,0.276,0.338,0.217,0.059
-1167387487,2146860343,0.27,0.329,NaN,NaN
-1167370867,2146876932,0.254,0.332,0.189,0.064
-1167353979,2146893803,0.248,0.336,0.185,0.062
-1167337479,2146910309,0.25,0.331,0.204,0.033
-1167320945,2146926848,0.25,0.332,0.206,0.029
-1167304072,2146943727,0.25,0.333,0.188,0.06
-1167287609,2146960178,0.251,0.333,NaN,NaN
-1167270910,2146976860,0.25,0.328,0.187,0.073
-1167254105,2146993647,0.248,0.331,0.187,0.068
-1167237704,2147010048,0.248,0.34,NaN,NaN
-1167220981,2147026775,0.252,0.337,0.183,0.062
-1167204195,2147043567,0.252,0.328,0.181,0.058
-1167187755,2147060014,0.251,0.332,0.19,0.031
-1167171087,2147076690,0.251,0.338,0.186,0.029
-1167154298,2147093487,0.251,0.336,0.175,0.054
-1167137910,2147109883,NaN,NaN,NaN,NaN
-1167121197,2147126606,0.245,0.421,0.176,0.12
-1167104399,2147143411,0.24,0.421,0.187,0.119
-1167087966,2147159849,0.243,0.418,NaN,NaN
-1167071299,2147176521,0.241,0.419,0.171,0.132
-1167054493,2147193331,0.24,0.419,0.172,0.129
-1167038014,2147209815,0.241,0.409,NaN,NaN
-1167021397,2147226437,0.237,0.411,0.169,0.123
-1167004587,2147243251,0.308,0.379,0.281,0.1
-1166988163,2147259684,0.414,0.333,NaN,NaN
-1166971549,2147276352,0.54,0.261,0.538,0.101
-1166954780,2147293176,0.544,0.249,0.53,0.097
-1166938363,2147309650,0.541,0.241,NaN,NaN
-1166921805,2147326267,0.531,0.25,0.507,0.082
-1166905033,2147343101,0.516,0.266,0.502,0.08
-1166888676,2147359520,0.51,0.269,NaN,NaN
-1166872079,2147376183,0.501,0.272,0.492,0.08
-1166855308,2147393021,0.49,0.277,0.472,0.07
-1166838911,2147409486,0.482,0.281,NaN,NaN
-1166822369,2147426098,0.477,0.28,0.461,0.073
-1166805604,2147442936,0.472,0.27,0.454,0.075
-1166789158,2147459452,0.468,0.277,NaN,NaN
-1166772516,2147476110,0.464,0.277,0.446,0.062
-1166755787,-2147474440,0.458,0.283,0.445,0.063
-1166739338,-2147457975,0.459,0.277,NaN,NaN
-1166722649,-2147441270,0.458,0.279,0.429,0.059
-1166705915,-2147424520,0.451,0.277,0.423,0.052
-1166689420,-2147408009,0.45,0.28,NaN,NaN
-1166672879,-2147391452,0.447,0.278,0.424,0.057
-1166656048,-2147374605,0.445,0.282,0.427,0.058
-1166639598,-2147358139,0.441,0.282,NaN,NaN
-1166623011,-2147341536,0.441,0.281,0.424,0.06
-1166606177,-2147324685,0.442,0.276,0.423,0.059
-1166589777,-2147308270,0.438,0.28,NaN,NaN
-1166573138,-2147291621,0.438,0.28,0.418,0.061
-1166556289,-2147274765,0.435,0.267,0.419,0.06
-1166539835,-2147258304,0.435,0.279,NaN,NaN
-1166523243,-2147241705,0.437,0.277,0.415,0.066
-1166506390,-2147224845,0.44,0.276,0.413,0.066
-1166489986,-2147208435,0.438,0.281,NaN,NaN
-1166473251,-2147191693,0.436,0.279,0.413,0.068
-1166456490,-2147174925,0.436,0.281,0.419,0.065
-1166440039,-2147158469,0.434,0.278,0.432,0.048
-1166423355,-2147141778,0.435,0.277,0.434,0.053
-1166406587,-2147125005,0.434,0.275,0.422,0.067
-1166390187,-2147108599,0.436,0.279,NaN,NaN
-1166373456,-2147091863,0.435,0.279,0.424,0.071
-1166356683,-2147075085,0.435,0.275,0.426,0.072
-1166340236,-2147058633,0.438,0.279,NaN,NaN
-1166323555,-2147041947,0.437,0.283,0.419,0.072
-1166306778,-2147025165,0.437,0.282,0.419,0.073
-1166290381,-2147008764,0.436,0.277,NaN,NaN
-1166273653,-2146992032,0.438,0.282,0.421,0.079
-1166256870,-2146975245,0.437,0.282,0.418,0.076
-1166240427,-2146958798,0.435,0.283,NaN,NaN
-1166223748,-2146942116,0.437,0.285,0.419,0.076
-1166206960,-2146925325,0.436,0.284,0.421,0.078
-1166190471,-2146908832,0.436,0.282,NaN,NaN
-1166173852,-2146892201,0.437,0.281,0.423,0.077
-1166157070,-2146875405,0.435,0.286,0.414,0.079
-1166140640,-2146858962,0.435,0.298,NaN,NaN
-1166123978,-2146842286,0.435,0.299,0.43,0.084
-1166107191,-2146825485,0.454,0.269,0.461,0.087
-1166090716,-2146808996,0.522,0.217,NaN,NaN
-1166074104,-2146792370,0.651,0.143,0.637,0.122
-1166057313,-2146775565,0.72,0.118,0.686,0.094
-1166040888,-2146759127,0.723,0.112,NaN,NaN
-1166024230,-2146742455,0.724,0.107,0.69,0.076
-1166007429,-2146725640,0.723,0.11,0.688,0.069
-1165991061,-2146709258,0.727,0.107,NaN,NaN
-1165974355,-2146692539,0.726,0.104,0.683,0.061
-1165957545,-2146675715,0.725,0.101,0.687,0.051
-1165941232,-2146659388,0.72,0.112,NaN,NaN
-1165924482,-2146642624,0.725,0.107,0.68,0.057
-1165907667,-2146625795,0.72,0.103,0.678,0.065
-1165891307,-2146609422,0.691,0.108,NaN,NaN
-1165874608,-2146592709,0.678,0.115,0.64,0.071
-1165857788,-2146575875,0.68,0.101,0.637,0.07
-1165841480,-2146559553,0.678,0.108,NaN,NaN
-1165824734,-2146542793,0.679,0.112,0.64,0.065
-1165807910,-2146525955,0.681,0.112,0.635,0.066
-1165791555,-2146509587,0.68,0.114,NaN,NaN
-1165774860,-2146492878,0.68,0.113,0.635,0.07
-1165758027,-2146476031,0.686,0.101,0.638,0.063
-1165741630,-2146459621,0.681,0.104,NaN,NaN
-1165724962,-2146442962,0.678,0.109,0.629,0.067
-1165708100,-2146426111,0.678,0.105,0.629,0.069
-1165691729,-2146409751,0.681,0.106,NaN,NaN
-1165674917,-2146392950,0.685,0.107,0.634,0.074
-1165658146,-2146376191,0.683,0.111,0.632,0.073
-1165641728,-2146359785,0.682,0.103,NaN,NaN
-1165624965,-2146343035,0.68,0.113,0.633,0.049
-1165608188,-2146326271,0.685,0.106,0.636,0.051
-1165591820,-2146309916,0.682,0.109,NaN,NaN
-1165575106,-2146293216,0.683,0.112,0.633,0.066
-1165558227,-2146276351,0.676,0.11,0.62,0.064
-1165541811,-2146259950,0.671,0.107,NaN,NaN
-1165525049,-2146243204,0.67,0.116,0.619,0.078
-1165508261,-2146226431,0.669,0.133,0.619,0.076
-1165491895,-2146210081,0.676,0.114,NaN,NaN
-1165475087,-2146193289,0.676,0.108,0.617,0.071
-1165458292,-2146176511,0.672,0.122,0.616,0.069
-1165441974,-2146160211,0.672,0.107,NaN,NaN
-1165425118,-2146143373,0.669,0.107,0.626,0.057
-1165408318,-2146126591,0.671,0.113,0.629,0.052
-1165391954,-2146110245,0.668,0.113,NaN,NaN
-1165375147,-2146093458,0.668,0.114,0.631,0.069
-1165358340,-2146076671,0.668,0.123,0.63,0.072
-1165342026,-2146060376,0.67,0.117,NaN,NaN
-1165325268,-2146043639,0.668,0.122,0.627,0.068
-1165308355,-2146026746,0.667,0.101,0.629,0.07
-1165291997,-2146010410,0.669,0.109,NaN,NaN
-1165275192,-2145993627,0.671,0.116,0.634,0.062
-1165258369,-2145976826,0.667,0.12,0.631,0.067
-1165241965,-2145960444,0.672,0.103,NaN,NaN
-1165225210,-2145943712,0.672,0.112,0.63,0.072
-1165208380,-2145926906,0.675,0.12,0.628,0.072
-1165192024,-2145910574,0.671,0.112,NaN,NaN
-1165175222,-2145893796,0.668,0.102,0.626,0.068
-1165158387,-2145876986,0.671,0.112,0.623,0.067
-1165141984,-2145860608,0.674,0.097,NaN,NaN
-1165125231,-2145843881,0.676,0.101,0.627,0.056
-1165108390,-2145827066,0.67,0.117,0.628,0.05
-1165092037,-2145810739,0.677,0.106,NaN,NaN
-1165075237,-2145793966,0.675,0.107,0.627,0.063
-1165058389,-2145777146,0.668,0.103,0.628,0.062
-1165041989,-2145760773,0.671,0.103,NaN,NaN
-1165025237,-2145744050,0.675,0.11,0.623,0.05
-1165008385,-2145727226,0.67,0.114,0.626,0.048
-1164992034,-2145710904,0.667,0.111,NaN,NaN
-1164975235,-2145694135,0.668,0.108,0.623,0.061
-1164958376,-2145677306,0.669,0.111,0.627,0.06
-1164941978,-2145660938,0.671,0.094,NaN,NaN
-1164925260,-2145644219,0.669,0.099,0.631,0.041
-1164908431,-2145627386,0.67,0.095,0.63,0.049
-1164892116,-2145611068,0.671,0.099,NaN,NaN
-1164875355,-2145594304,0.672,0.097,0.629,0.052
-1164858521,-2145577466,0.668,0.11,0.63,0.051
-1164842160,-2145561102,0.665,0.118,NaN,NaN
-1164825450,-2145544389,0.644,0.122,0.603,0.082
-1164808611,-2145527546,0.519,0.18,0.485,0.082
-1164792301,-2145511233,0.433,0.276,NaN,NaN
-1164775544,-2145494473,0.389,0.314,0.383,0.07
-1164758706,-2145477631,0.395,0.32,0.379,0.071
-1164742345,-2145461267,0.398,0.314,NaN,NaN
-1164725639,-2145444558,0.397,0.314,0.384,0.072
-1164708800,-2145427715,0.403,0.326,0.379,0.074
